host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
0,3,4,3,2.0,1.0,3.0,1,2,300,9.0,9.0,9.0,9.0,9.0,9.0,1,15
0,4,1,3,1.0,1.0,2.0,4,3,760,9.0,9.0,9.0,9.0,9.0,9.0,0,3
0,4,1,5,1.0,2.0,3.0,7,3,760,9.0,8.0,9.0,9.0,9.0,9.0,0,3
0,4,1,4,1.0,1.0,2.0,5,3,365,9.0,9.0,9.0,8.0,9.0,8.0,0,3
0,4,1,4,1.0,3.0,2.0,9,4,15,5.0,5.0,5.0,5.0,5.0,5.0,1,2
0,1,1,2,1.0,1.0,1.0,8,7,10,5.0,5.0,5.0,5.0,5.0,5.0,0,1
1,1,1,3,1.0,2.0,2.0,6,6,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,4
1,1,1,3,1.0,2.0,2.0,6,6,1125,10.0,10.0,10.0,10.0,10.0,9.0,0,4
1,1,1,3,1.0,2.0,2.0,6,6,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,4
1,1,1,2,1.0,1.0,1.0,5,6,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,4
0,1,1,6,1.0,2.0,2.0,10,1,1125,9.0,9.0,9.0,9.0,9.0,9.0,0,1
0,2,2,1,1.0,1.0,1.0,2,1,365,9.0,10.0,10.0,10.0,9.0,10.0,0,4
0,2,2,2,1.0,1.0,1.0,2,2,365,9.0,9.0,9.0,9.0,9.0,9.0,0,4
0,1,1,6,1.0,2.0,2.0,7,6,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,3
0,1,1,4,1.0,2.0,2.0,7,6,90,10.0,10.0,10.0,10.0,10.0,10.0,0,3
0,18,1,4,1.0,2.0,3.0,9,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,2
0,19,1,6,1.0,3.0,3.0,8,1,365,10.0,9.0,10.0,10.0,9.0,9.0,0,1
0,1,1,4,2.0,2.0,2.0,5,3,365,10.0,10.0,10.0,10.0,8.0,9.0,0,2
0,2,2,1,1.0,1.0,1.0,2,2,12,10.0,10.0,10.0,10.0,10.0,10.0,0,1
0,5,2,1,1.0,1.0,1.0,2,3,100,10.0,10.0,10.0,10.0,10.0,10.0,1,1
0,5,2,2,1.0,1.0,1.0,4,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,6,1,1,1.0,1.0,1.0,4,1,21,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,6,2,1,1.0,1.0,1.0,4,1,15,5.0,5.0,5.0,5.0,5.0,5.0,0,2
0,3,2,3,2.0,1.0,2.0,2,2,200,9.0,9.0,9.0,10.0,9.0,9.0,1,15
1,1,1,3,1.0,1.0,2.0,4,2,364,9.0,9.0,9.0,9.0,9.0,9.0,0,3
0,6,2,2,1.0,1.0,1.0,4,2,10,5.0,5.0,5.0,5.0,5.0,5.0,0,2
0,2,3,6,2.0,3.0,4.0,10,10,150,10.0,8.0,10.0,10.0,10.0,10.0,1,1
0,1,1,2,1.0,1.0,2.0,6,30,730,5.0,5.0,5.0,5.0,5.0,5.0,0,1
1,1,1,5,1.0,1.0,2.0,4,2,1125,10.0,10.0,10.0,10.0,10.0,9.0,1,9
0,1,2,1,2.0,1.0,1.0,1,1,30,10.0,10.0,10.0,10.0,10.0,10.0,1,8
0,4,2,1,1.0,1.0,1.0,4,2,30,5.0,5.0,5.0,5.0,5.0,5.0,1,1
0,1,1,6,2.May,2.0,4.0,6,60,365,9.0,9.0,10.0,10.0,10.0,9.0,0,1
0,1,1,3,1.0,1.0,2.0,3,1,450,9.0,9.0,10.0,10.0,10.0,9.0,0,12
0,19,1,5,1.0,3.0,3.0,7,2,1125,10.0,9.0,10.0,10.0,10.0,9.0,0,1
1,11,2,2,2.0,1.0,1.0,2,3,1125,10.0,10.0,10.0,10.0,9.0,10.0,0,2
0,4,1,8,1.0,3.0,4.0,5,3,1125,9.0,7.0,9.0,9.0,10.0,9.0,0,2
0,1,1,3,1.0,1.0,2.0,3,2,450,9.0,8.0,9.0,9.0,10.0,9.0,0,12
